"1","Brain avg","Elav avg","Repo avg","Brain avg","Transcript ID"
"2","3152.0682615651381","3511.5461062933673","2556.2785397271109","3152.0682615651381","CG9042"
"3","175.43144650838045","161.21515942205363","122.69516615864188","175.43144650838045","CG7163"
"4","30.355747692538547","18.534963605458181","1070.0863371084019","30.355747692538547","CG16844"
"5","107.86387972713153","57.227172328097787","24.016200974765571","107.86387972713153","CG32075"
"6","20.16270316867471","14.370349324510169","31.144283635348721","20.16270316867471","CG13848"
"7","442.79552031617004","125.78389574140451","72.547226154480839","442.79552031617004","CG4247"
"8","106.82657086919667","184.45209976155121","109.53417027959802","106.82657086919667","CG3945"
"9","19.649425068043307","34.88319601138987","64.666790373420611","19.649425068043307","CG9993"
"10","464.7113333111846","182.925828312493","138.22866685676908","464.7113333111846","CG1841"
"11","418.17928774859445","30.513303445736671","249.16166501407807","418.17928774859445","CG13200"
"12","795.45080720573628","240.99302727937211","182.2974221648071","795.45080720573628","CG5189"
"13","194.39459077111314","200.380276832237","67.561544628666738","194.39459077111314","CG2699"
"14","191.05048819205919","328.38209256639851","260.73655692931027","191.05048819205919","S.CX000516"
"15","285.43226567327531","157.47581461901004","258.19605862671722","285.43226567327531","CG6492"
"16","1719.1267730482093","1193.9976068618703","1153.1151105441525","1719.1267730482093","CG3682"
"17","31.575422546439292","37.304433111018682","47.743955388361734","31.575422546439292","HDC16025"
"18","31.512355313707019","36.689281094192481","53.044565744455056","31.512355313707019","CT32533"
"19","56.12190923967664","83.773261531985526","164.91643848128788","56.12190923967664","CG14640"
"20","476.76974119313672","80.054382867522818","65.472107064524664","476.76974119313672","CG32022"
"21","405.12736239760824","1031.1754572313134","620.83985099864401","405.12736239760824","CG31209"
"22","653.77967674633146","20.433489090232662","108.19599226327571","653.77967674633146","CG10382"
"23","216.67008020252806","125.8560524707497","109.58246692854209","216.67008020252806","CG18540"
"24","2619.2830919677099","3423.6530669475787","2307.7600243471461","2619.2830919677099","CG15319"
"25","23.240329601473945","25.450954721060885","8.4466147229806765","23.240329601473945","CG5776"
"26","103.23566826924971","143.009229913887","102.3880315038783","103.23566826924971","CG7940"
