"","x"
"1","toc"
"2","pav"
"3","aPKC"
"4","cnn"
"5","Eb1"
"6","AP-2alpha"
"7","Bsg25D"
"8","toc"
"9","betaTub56D"
"10","Plp"
"11","tacc"
"12","tacc"
"13","cnn"
"14","spd-2"
"15","Ran"
"16","CycB"
"17","312"
"18","toc"
"19","par-6"
"20","Bsg25D"
"21","pins"
"22","Eb1"
"23","hrg"
"24","hrg"
"25","betaTub56D"
"26","Eb1"
"27","alphaTub84B"
"28","baz"
"29","Apc2"
"30","CycB"
"31","tacc"
"32","tacc"
"33","AP-2alpha"
"34","toc"
