"","x"
"1","aPKC"
"2","Bsg25D"
"3","betaTub56D"
"4","Plp"
"5","tacc"
"6","tacc"
"7","312"
"8","par-6"
"9","Bsg25D"
"10","pins"
"11","betaTub56D"
"12","alphaTub84B"
"13","baz"
"14","tacc"
"15","tacc"
