"","x"
"1","SmB"
"2","orb"
"3","pav"
"4","aPKC"
"5","btz"
"6","Pka-R1"
"7","Pka-R1"
"8","AP-2alpha"
"9","msps"
"10","par-1"
"11","nos"
"12","Pka-R1"
"13","Pka-R1"
"14","Fak"
"15","orb"
"16","312"
"17","Syx18"
"18","Pka-R1"
"19","Pka-R1"
"20","eIF4A"
"21","eIF4A"
"22","par-6"
"23","Pka-R1"
"24","Pka-R1"
"25","pins"
"26","orb2"
"27","orb2"
"28","orb"
"29","stau"
"30","par-1"
"31","baz"
"32","par-1"
"33","Apc2"
"34","cno"
"35","AP-2alpha"
