"","x"
"1","14-3-3zeta"
"2","dl"
"3","dl"
"4","14-3-3zeta"
"5","Nrx-1"
"6","Nrx-1"
"7","dl"
"8","dl"
"9","cact"
"10","312"
"11","GluRIIC"
