"","x"
"1","Fmr1"
"2","Hr51"
"3","nSyb"
"4","Dfd"
"5","TkR99D"
"6","slgA"
"7","homer"
"8","Appl"
"9","nSyb"
"10","DAT"
"11","312"
"12","DAT"
"13","Nrg"
"14","Calr"
"15","Fas2"
"16","Fas2"
"17","Wnt5"
"18","Fmr1"
"19","homer"
