"","x"
"350","CG10068"
"351","Nipsnap"
"352","Cdk5"
"353","RhoGAP68F"
"354","stmA"
"355","Pp1-87B"
"356","Snap29"
"357","Tsp97E"
"358","Wwox"
"359","RhoGAP71E"
"360","CG5890"
"361","sun"
"362","GLS"
"363","Csp"
"364","CG34242"
"365","DIP-epsilon"
"366","DIP-epsilon"
"367","5-HT1B"
"368","Nost"
"369","CG4462"
"370","Surf1"
"371","RpL13"
"372","btz"
"373","prel"
"374","put"
"375","put"
"376","RpLP2"
"377","CG18858"
"378","Axs"
"379","CG14669"
"380","Rpt4"
"381","CG5028"
"382","CG13510"
"383","CG5946"
"384","Alr"
"385","ND-B14.5A"
"386","CG10616"
"387","sm"
"388","CG32809"
"389","CG32809"
"390","CG15629"
"391","Cyp313a1"
"392","Cyp313a1"
"393","CG12512"
"394","CG3841"
"395","vib"
"396","14-3-3epsilon"
"397","CG18747"
"398","CG10166"
"399","CG34293"
"400","Ufm1"
"401","kek6"
"402","kek6"
"403","Est-6"
"404","Est-6"
"405","Ufm1"
"406","VAChT"
"407","RpS11"
"408","CG5196"
"409","RanBPM"
"410","Ced-12"
"411","NAAT1"
"412","PHGPx"
"413","Rtnl1"
"414","Rtnl1"
"415","Rtnl1"
"416","mtd"
"417","mtd"
"418","Papss"
"419","HnRNP-K"
"420","scramb1"
"421","Dsp1"
"422","Papss"
"423","fbp"
"424","sdt"
"425","Cp1"
"426","ND-ASHI"
"427","l(2)gl"
"428","Hrb98DE"
"429","Rtnl1"
"430","Rtnl1"
"431","Rtnl1"
"432","Trp1"
"433","Lon"
"434","flr"
"435","fax"
"436","spoon"
"437","Pu"
"438","CG7461"
"439","wdb"
"440","CG1814"
"441","CG1440"
"442","14-3-3epsilon"
"443","CG3213"
"444","CG16758"
"445","Got2"
"446","Hrb98DE"
"447","CG14736"
"448","mfas"
"449","CG18508"
"450","CG5021"
"451","Taz"
"452","Syn2"
"453","tzn"
"454","CG17387"
"455","bru1"
"456","bru1"
"457","CG11779"
"458","Drp1"
"459","Psa"
"460","CG42668"
"461","CG42668"
"462","Irk1"
"463","mge"
"464","Gs2"
"465","Treh"
"466","CG9485"
"467","CG6707"
"468","CG42514"
"469","Moe"
"470","Hrs"
"471","Men"
"472","RpLP1"
"473","Rpn6"
"474","aralar1"
"475","Flo2"
"476","regucalcin"
"477","CG2246"
"478","fab1"
"479","grsm"
"480","Cpr"
"481","CG32549"
"482","Pka-R1"
"483","Pka-R1"
"484","kdn"
"485","ERp60"
"486","AdipoR"
"487","CAP"
"488","Ehbp1"
"489","svr"
"490","dnc"
"491","CG2246"
"492","Sam-S"
"493","CG3625"
"494","mRpL20"
"495","Pfk"
"496","CG9941"
"497","RpL3"
"498","capu"
"499","svr"
"500","ine"
"501","dl"
"502","dl"
"503","Ptpmeg2"
"504","AP-1gamma"
"505","Psa"
"506","RhoGEF3"
"507","RhoGEF3"
"508","Dhap-at"
"509","AP-1gamma"
"510","AGO1"
"511","14-3-3zeta"
"512","RpS15"
"513","CG3625"
"514","sif"
"515","Mgstl"
"516","Pxn"
"517","CG33181"
"518","FASN2"
"519","CG9003"
"520","sesB"
"521","Ptpmeg2"
"522","CG32549"
"523","ND-ASHI"
"524","rad50"
"525","svr"
"526","CG6330"
"527","GLS"
"528","Tpr2"
"529","UQCR-14"
"530","ND-ACP"
"531","CG30349"
"532","Nop56"
"533","Indy"
"534","Vha100-1"
"535","HBS1"
"536","Nrx-IV"
"537","Lmpt"
"538","Eb1"
"539","Trs23"
"540","Trx-2"
"541","Rbp1"
"542","rl"
"543","CG5059"
"544","Tsp5D"
"545","Mob2"
"546","fwe"
"547","mtd"
"548","mtd"
"549","Vps20"
"550","AIMP2"
"551","Pu"
"552","zyd"
"553","mfas"
"554","Traf-like"
"555","AhcyL1"
"556","AhcyL1"
"557","Pvr"
"558","Pvr"
"559","Pvr"
"560","Dyb"
"561","eIF4H1"
"562","mino"
"563","CG9662"
"564","CG8270"
"565","Hsepi"
"566","dlg1"
"567","Pde8"
"568","Den1"
"569","galectin"
"570","galectin"
"571","galectin"
"572","galectin"
"573","galectin"
"574","CG43367"
"575","CG14762"
"576","CG14762"
"577","inaD"
"578","inaD"
"579","Prip"
"580","sm"
"581","CG18259"
"582","Vps35"
"583","Strumpellin"
"584","RFeSP"
"585","spir"
"586","GlyS"
"587","Nost"
"588","Dek"
"589","CG7886"
"590","Vha68-2"
"591","CG18155"
"592","smid"
"593","Ror"
"594","Ror"
"595","CG10737"
"596","Dd"
"597","Rab32"
"598","CG15117"
"599","ste24a"
"600","Hk"
"601","Hk"
"602","hook"
"603","Hex-A"
"604","CG6565"
"605","eIF2Bdelta"
"606","Fim"
"607","Fim"
"608","CG6693"
"609","Vps51"
"610","CkIalpha"
"611","CG6805"
"612","CG1637"
"613","CG10425"
"614","Sdc"
"615","Sdc"
"616","Sdc"
"617","Paf-AHalpha"
"618","CG12746"
"619","AnxB9"
"620","AnxB9"
"621","Mo25"
"622","mrj"
"623","mrj"
"624","ScpX"
"625","Fgop2"
"626","DCTN4-p62"
"627","CG10802"
"628","Kap-alpha3"
"629","Rtnl1"
"630","Rtnl1"
"631","Rtnl1"
"632","Dnz1"
"633","Pur-alpha"
"634","CG5149"
"635","Pi3K68D"
"636","ifc"
"637","CG32750"
"638","koi"
"639","CG5880"
"640","fne"
"641","larp"
"642","CG10237"
"643","7B2"
"644","wupA"
"645","wupA"
"646","wupA"
"647","wupA"
"648","wupA"
"649","wupA"
"650","Pect"
"651","MAPk-Ak2"
"652","CG16758"
"653","Sdc"
"654","Sdc"
"655","Sdc"
"656","Fib"
"657","Spn42Da"
"658","CG1637"
"659","Culd"
"660","Culd"
"661","wupA"
"662","wupA"
"663","wupA"
"664","gish"
"665","UGP"
"666","AP-2alpha"
"667","CG13384"
"668","CG13384"
"669","CG13384"
"670","CG13384"
"671","Hrb98DE"
"672","sw"
"673","ens"
"674","ens"
"675","ens"
"676","up"
"677","CG42542"
"678","CG30122"
"679","CG2747"
"680","Glut1"
"681","Glut1"
"682","glob1"
"683","Patronin"
"684","CG9775"
"685","nSyb"
"686","PhKgamma"
"687","Cow"
"688","CG42668"
"689","CG42668"
"690","RtGEF"
"691","RtGEF"
"692","pug"
"693","iPLA2-VIA"
"694","sw"
"695","ras"
"696","SERCA"
"697","CG5793"
"698","GABA-B-R1"
"699","CG42748"
"700","Clbn"
"701","Dap160"
"702","CG15279"
"703","CG1674"
"704","CG1674"
"705","CG1674"
"706","CG31140"
"707","Arpc3A"
"708","GluClalpha"
"709","Myo28B1"
"710","mub"
"711","CG42495"
"712","mesh"
"713","ClC-a"
"714","mRpL37"
"715","gish"
"716","CG2747"
"717","bur"
"718","CG1354"
"719","msps"
"720","rad50"
"721","CG30122"
"722","CG8726"
"723","Nrx-1"
"724","Nrx-1"
"725","par-1"
"726","KrT95D"
"727","NKAIN"
"728","NKAIN"
"729","CG13887"
"730","SPoCk"
"731","AP-1sigma"
"732","RhoGAP1A"
"733","sgg"
"734","Zasp52"
"735","Zasp52"
"736","Evi5"
"737","frc"
"738","whd"
"739","Asph"
"740","PIG-X"
"741","nAChRbeta3"
"742","nAChRbeta3"
"743","CG9302"
"744","Dop1R1"
"745","sky"
"746","CG1674"
"747","CG1674"
"748","CG1674"
"749","lig"
"750","mfas"
"751","CG14207"
"752","tko"
"753","snama"
"754","Nhe3"
"755","Nhe3"
"756","tau"
"757","CG2698"
"758","Rab8"
"759","CG18815"
"760","CG7115"
"761","Cip4"
"762","ND-B17.2"
"763","Syp"
"764","Syp"
"765","Myo61F"
"766","GluProRS"
"767","mnd"
"768","CG9257"
"769","AMPdeam"
"770","Dop1R1"
"771","Tm1"
"772","nAChRbeta1"
"773","nAChRbeta1"
"774","nAChRbeta1"
"775","nAChRbeta1"
"776","CG31760"
"777","babo"
"778","CG8177"
"779","LRR"
"780","Nup98-96"
"781","tmod"
"782","vimar"
"783","fwe"
"784","Myo95E"
"785","sw"
"786","CG42813"
"787","up"
"788","Dsp1"
"789","Adi1"
"790","Ndae1"
"791","Ndae1"
"792","Ndae1"
"793","CG3262"
"794","mRpL39"
"795","teq"
"796","mRpS24"
"797","CG17691"
"798","RpS3A"
"799","CG8245"
"800","tkv"
"801","CG34120"
"802","CG16935"
"803","CG2224"
"804","CG13442"
"805","snz"
"806","Trap1"
"807","Hmgcr"
"808","CG10064"
"809","CG13032"
"810","psidin"
"811","Pp2A-29B"
"812","CG12194"
"813","smp-30"
"814","Trp1"
"815","Snp"
"816","RhoGDI"
"817","frj"
"818","Rpn9"
"819","CG8460"
"820","OstDelta"
"821","schlank"
"822","schlank"
"823","Arp2"
"824","Ent1"
"825","ced-6"
"826","Amph"
"827","C1GalTA"
"828","Pex16"
"829","ApepP"
"830","CCT3"
"831","Ance"
"832","CG7222"
"833","NTPase"
"834","drk"
"835","CG7289"
"836","CG6178"
"837","sds22"
"838","Rab11"
"839","Fdh"
"840","lwr"
"841","CG8635"
"842","CG8209"
"843","CG17270"
"844","CG10077"
"845","hfp"
"846","CG8475"
"847","Tsp97E"
"848","Dpck"
"849","CG1161"
"850","CadN2"
"851","CadN2"
"852","CadN2"
"853","CadN2"
"854","CadN2"
"855","CadN2"
"856","CadN2"
"857","CadN2"
"858","CadN2"
"859","CadN2"
"860","CadN2"
"861","CadN2"
"862","CadN2"
"863","CadN2"
"864","CadN2"
"865","CadN2"
"866","CadN2"
"867","CadN2"
"868","CadN2"
"869","sfl"
"870","SNF4Agamma"
"871","CG14184"
"872","Vha16-3"
"873","CG14817"
"874","Pkd2"
"875","Pkd2"
"876","Ddc"
"877","galectin"
"878","galectin"
"879","galectin"
"880","galectin"
"881","galectin"
"882","Caf1-55"
"883","Pop2"
"884","CG5044"
"885","YME1L"
"886","sw"
"887","Pgd"
"888","CG15537"
"889","Pgant35A"
"890","CG8379"
