"","x"
"1","aPKC"
"2","Dap160"
"3","RhoGAP100F"
"4","brp"
"5","Mob4"
"6","312"
"7","nwk"
"8","par-6"
"9","Rab3"
"10","Rab3"
"11","Syngr"
"12","Strip"
"13","Strip"
"14","Fas2"
"15","Fas2"
"16","shi"
"17","baz"
"18","EndoA"
