Brain avg,Elav avg,Repo avg,Transcript ID
3152.0682615651381,3511.5461062933673,2556.2785397271109,CG9042
175.43144650838045,161.21515942205363,122.69516615864188,CG7163
30.355747692538547,18.534963605458181,1070.0863371084019,CG16844
107.86387972713153,57.227172328097787,24.016200974765571,CG32075
20.16270316867471,14.370349324510169,31.144283635348721,CG13848
442.79552031617004,125.78389574140451,72.547226154480839,CG4247
106.82657086919667,184.45209976155121,109.53417027959802,CG3945
19.649425068043307,34.88319601138987,64.666790373420611,CG9993
464.7113333111846,182.925828312493,138.22866685676908,CG1841
418.17928774859445,30.513303445736671,249.16166501407807,CG13200
795.45080720573628,240.99302727937211,182.2974221648071,CG5189
194.39459077111314,200.380276832237,67.561544628666738,CG2699
191.05048819205919,328.38209256639851,260.73655692931027,S.CX000516
285.43226567327531,157.47581461901004,258.19605862671722,CG6492
1719.1267730482093,1193.9976068618703,1153.1151105441525,CG3682
31.575422546439292,37.304433111018682,47.743955388361734,HDC16025
31.512355313707019,36.689281094192481,53.044565744455056,CT32533
56.12190923967664,83.773261531985526,164.91643848128788,CG14640
476.76974119313672,80.054382867522818,65.472107064524664,CG32022
405.12736239760824,1031.1754572313134,620.83985099864401,CG31209
653.77967674633146,20.433489090232662,108.19599226327571,CG10382
216.67008020252806,125.8560524707497,109.58246692854209,CG18540
2619.2830919677099,3423.6530669475787,2307.7600243471461,CG15319
23.240329601473945,25.450954721060885,8.4466147229806765,CG5776
103.23566826924971,143.009229913887,102.3880315038783,CG7940
315.26528294994421,299.97092991886444,331.69362811350976,CG31222
68.186110739778954,70.408072881961431,80.32740342082954,CG1957
489.55652534921103,359.06198392569348,149.70579990203419,CG5146
518.38891048834569,1248.1962586245268,1161.0801153422276,CG32858
88.732592892483694,65.373392823086377,69.602486219353125,CG13698
112.20841585779995,126.6835969743001,109.11320597399347,CG17506
2139.3350349923867,2689.3981319772329,2675.3699613669319,CG13387
2358.8982238201015,2934.627231865129,1283.3007742676573,CG17765
2999.0533445148576,947.10011458690371,915.32465647084939,CG31959
239.30985508902558,247.44592583947582,136.90797490179284,CG2371
69.319507920957733,101.95247855668951,76.951172120839075,CG8735
235.90892858843077,243.39077272305317,236.26453590515467,CG12141
158.91958312215087,9.832394740036996,12.567835108159301,CG6908
7286.9458549425744,8633.4178968289962,8270.3161142727677,CG6647
43.613892910925664,29.30363521777798,26.075787635956438,CG17721
15.712855492824001,22.427315360254461,37.244673994945586,CG12212
151.78785117812217,424.85175126230695,241.33336440796452,CG10069
18.830133194695662,36.032108206654193,50.573095358952692,Stencil:3L:7530717:7541211:GENSCAN
620.553808493166,698.29701522658218,443.65148032328153,CG8364
179.14977656074228,136.23419631229814,90.989835029983709,CG17221
131.98257861166863,309.68854240618788,320.71433049975047,CG1422
474.86156178983617,839.79234892487727,1166.8717384272704,CG32384
351.53776952599407,128.91132285594009,94.87124227238705,CG15087
74.120419768893385,134.07660181986375,111.30233740246013,CG8031
22.947359525832034,34.754603540014315,875.1675117666216,CG4000
173.46912696096103,169.65106900420113,170.65394633744367,CG32491
28.841443262520237,24.372631087554993,36.090920095139261,CG14635
846.40475516296954,790.96298992880293,851.66573708593501,CG7188
186.25573319749796,84.191559900670669,63.480632466317857,CG5519
1300.1162818176576,2279.3638914093399,2262.463100036789,CG4380
285.97693175415714,361.89076341325836,161.60639288391241,CG7393
133.62676110317332,119.26679071916892,95.584625240602833,CG4579
1065.0570331292442,954.9091219116857,1058.4171395642736,CG8905
11.799500752092792,21.840692929278749,28.698823611225784,HDC12978
166.90277482385335,56.231674799220947,53.844923814634548,CG5611
95.275059428860146,33.019076715469836,137.23575134083242,CG5381
9.4566066395581512,19.295082985346429,22.868992219192567,CG14396
25.540561404302213,44.705873771014936,17.388579333325559,CG4965
26.146706358684298,53.518923856033368,94.609226076867529,HDC07791
63.206113887224909,110.6969684172827,103.99398304830829,HDC09483
156.01151544667192,111.52951817913399,143.96132458607585,CG4326
477.51078261443928,584.86196193762646,282.81203105207516,CG8085
116.22269776280362,27.0257167348745,36.428433901340028,CG13141
152.92554656118537,400.32206875867206,126.45703103884975,CG15812
306.76242139145825,338.29525632799874,383.75545768109544,CG1403
18.674128884241789,5.4118915054707015,7.9650290097825449,CG33093
13.801120885028865,18.103765282493562,29.019672842101944,CG31404
119.18570464638935,29.685719042050021,35.420134134291075,CG18449
15.920603287587889,13.203739529356273,23.078834409374558,S.C3R001125
243.17081467412868,90.797178136117751,268.85224824251003,CG4545
382.0813743003863,74.305783157850811,83.445104923557849,CG11940
9.622492917983589,15.780358205310142,16.765244525111388,CG5565
250.20875369390623,226.28214107225912,405.28500027428015,CG4886
76.954653789403181,75.273802200044912,83.78080988275768,CG13552
1456.2467453178945,453.1218617479696,306.15975401910379,CG14283
1541.1465408657314,935.755203218068,995.39942435309206,CG3907
151.28754615246132,24.384251237008421,18.128681728964345,CG18537
140.96024493800826,178.38871460490864,140.43956888830724,CG7671
330.60053481735156,485.40425115490478,757.30153098186634,CG7149
20.436138452682265,26.953944185262579,32.549941039808147,CG12780
18.733157783794667,20.865962570443507,222.45856992317445,CG30171
82.513486366732366,83.311380447322961,175.55893458973657,CG31937
668.23777516828443,444.53963154928317,697.29407824957786,CG11981
2516.386232589301,952.77432549276386,750.28425709131909,CG1783
390.40144002546657,280.42050890144026,93.490712193485081,CG31535
62.670764786482017,42.07218036446281,15.011712468992092,CG2336
711.14982222418871,837.13783792946083,946.30802563395844,CG10249
6276.4606307989397,4556.4670143670155,3431.6950982356502,CG5594
